"Number","Name","Nickname","Correspondence language","Address","Address addon","ZIP / Postal code","City","State","Country","Phone","Category","Currency","Payment method","Comment for student record","Tax number","Web","Groups","Active","First name","Surname","E-mail","Commission category","Terms of payments","Cancellation category","Created by","Created","Updated by","Updated on"
"","Company's Name","XPTO Company","English","100 Franco Avenue, Barcelona, Catalonia","",10802,"Barcelona","Catalonia","Spain",+353851162888,"Travel agent","€","Net prior to arrival","","","www.companyemail.com","1. VIP","Yes","John","Catridge","neilsjm1@yahoo.com","","","","Team, Accounts","05/03/2020","","10/05/2022"
"","Compare Language Course","Compare","English","3 Thomas Street, BS2 9LJ","","","Bristol","","United Kingdom","","Travel agent","€","Net prior to arrival","","","","7. Inactive","Yes","Juanma","Bravo","admin@comparelanguagecourse.com","25% All Courses","","","Team, ULearn","05/10/2017","","10/05/2022"
"","Connect Abroad Corporation","Connect Abroad Corporation","English","Office 5,","Vulytsya Gogolivska 15,","","Kiev","","Ukraine","","Travel agent","","Net prior to arrival","","","http://cac-ua.com/en","3. Gone Quiet","Yes","Oleksandr","Kaplynskyy","wat@cac-ua.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Connecta Intercambio","Connecta Intercambio","English","Rua Dias da Silva, 366","Vila Maria","CEP: 02114-000","São Paulo - SP - Brasil","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Contact Mundo","Contact Mundo","English","Rafael Cañas 174,","Providencia,","","Santiago de Chile","","Chile","+56 2 2264 17 19","Travel agent","€","Net prior to arrival","","","http://www.contactmundo.cl","2. Active Engaged","Yes","Constanza Madrazo","Madrazo","constanza@contactmundo.cl","22% All Courses","","","Gill, Paul","17/06/2016","","14/11/2022"
"","Creative consulting LLC","Creative consulting LLC","English","Study in Ireland center, Building 1a, 2nd Khoroo, Sukhbaatar District","","","Ulaanbaatar","","Mongolia","+976 99021780","Travel agent","€","Net prior to arrival","","","","","Yes","Munkhzaya","Dashzeveg","info@edumarket.mn","22.5% All Courses","Partner Pay Terms - Course & Accomm","","Team, ULearn","17/12/2018","","28/04/2025"
"","Cristiane Da Silva","Cristiane Da Silva","English","","","","","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Crocus Garden","Crocus","English","12 - 37 Komiza-cho Kameyama-shi","mie-ken","519-0113","","","Japan",+8108036753796,"Travel agent","€","Net prior to arrival","","","http://crocus-garden.vivian.jp/about_crocus_gardden/","New agents 2020","Yes","Akari","Miyamoto","info@crocus-garden.vivian.jp","","","","Team, ULearn","11/09/2020","","10/05/2022"
"","CSA Travels","CSA Travels","English","Of. 204,","Carrera 13,","#94A - 44,","Bogotá,","","Colombia","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Carolina Suazo","Lozano","enrolments@csatravels.com","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CSR Ldt","CSR Ldt","English","16 Sampson's Lane","Moore Street","","Dublin 1","Dublin","Ireland","","","","Net prior to arrival","","","www.csr.ie","","Yes","","","","25% All Courses","Partner Pay Terms - Course Only (EU), Partner Pay Terms - Course Only 2","ULearn Cancellation Policy 2018","Team, ULearn","04/06/2019","","10/05/2022"
"","CTA Student Services Ltd","CTA Student Services","English","","","","","","",+447903779335,"","€","Net prior to arrival","","","","","Yes","Cathy","Tang","cathytang@tangtravel.co.uk","25% All Courses","Student Pay Terms","ULearn Cancellation Policy 2018","Team, ULearn","16/10/2019","","10/05/2022"
"","CTM Consulting","CTM","English","2009 Moo 6 Sukhumvit Rd, Samrong-Nua","Samutprakarn",10270,"Bangkok","","Thailand","+66 616308942","Travel agent","€","Net prior to arrival","","","","New agents 2020","Yes","Chanthima","Kleadkeamchua","ctmabroad@gmail.com","22% All Courses","","","Team, Partners","04/05/2023","","04/05/2023"
"","Cursos & Postgrados","Cursos & Postgrados","English","Oficina 121 Parque Científico de Madrid","C/ Santiago Grisolía, 2 - 1. Piso","CP 28760","Tres Cantos/Madrid","","Spain","","Travel agent","","Net prior to arrival","","","www.cursosypostgrados.com","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Dakheel Group","Dakheel Group","English","","","","","","Saudi Arabia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","DaLian Huacheng Overscas Employment Service Co., Ltd.","DaLian","English","Utni 08, 6F/, Zon,e 1 Northeast World Trade Center, No 10","youyi Street, Shenyang,","","Liaoning Province","","China",+8615840468688,"Travel agent","€","Net prior to arrival","","","","New agents 2020","Yes","Bing","Yao","caicai_0829@qq.com","22% All Courses","","","Team, Partners","18/09/2024","","18/09/2024"
"","Demalaecuia","Demalaecuia","English","","","","","","",+554199403453,"Travel agent","€","Net prior to arrival","","","www.demalaecuia.tur.br","New agents 2020","Yes","Barbara","Martinez","barbara@demalaecuia.tur.br","20% All Courses","","","Team, Partners","04/03/2020","","10/05/2022"
"","DEOW Japan","DEOW","English","","","","","","","+81 0 3 5990 5540","Travel agent","€","Net prior to arrival","","","deow.jp","2. Active Engaged","Yes","Yuko","Yoshimura","y.yoshimura@deow.jp","25% All Courses","","","Team, Accounts","19/12/2022","","09/01/2023"
"","Destino Certo Intercambios","Destino Certo","English","Artur Bernardes, 254 - Sala 201","Centro Campo Belo - MG","37270-000","","","Brazil","+35 9 9147 6594","Travel agent","€","Net prior to arrival","","","http://destinocertointercambios.com/","New agents 2020","Yes","Matheus","Campos","administrativo@destinocertointercambios.com","25% All Courses","","","Team, ULearn","04/12/2020","","14/02/2024"
"","Diana Atanasova","Diana Atanasova","English","","","","","","Russia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Direct for Visas and Study Abroad","Direct","English","King Saud Street","","Buraydah, AlQassim","","","Saudi Arabia","","Travel agent","","Net prior to arrival","","","","","Yes","Mohammed","Al-Dhali","mohammed@direct-trvl.com","25% All Courses","","","Team, ULearn","11/06/2018","","10/05/2022"
"","Discover Ireland","Discover Ireland","English","Apt9 Block6 Clarion Quay,","IFSC,","","Dublin 1","Ireland","South Korea","0082 70 8615 3988","Travel agent","€","Net prior to arrival","","","www.discover-ireland.co.kr","5. Old VIP (Nurture)","Yes","Jake","Yoo","jake@discover-ireland.co.kr","27.5% Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Dolce Education Thailand","Dolce Edu Thai","English","","","","","","Thailand","","Travel agent","€","Net prior to arrival","","","https://www.dolcethailand.com/Contact-us","2. Active Engaged","Yes","Namtip","Apiraknapaon","info@dolcethailand.com","22.5% All Courses","","","Team, Accounts","06/01/2025","","24/04/2025"
"","Dolce EU","Dolce EU","English","","","","","","South Korea","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Domar Travel Education","DT Education","English","Office 1","24 St. Voloshskaya",04070,"Kiev","","Ukraine","+380 (68) 594-44-06","Travel agent","","Net prior to arrival","","","www.dteducation.com","3. Gone Quiet","Yes","Anna","Luzgan","anna@dteducation.com","","","","Team, ULearn","06/07/2016","","10/05/2022"
"","Dreams in Ireland","Dreams in Ireland","English","Dreams in Ireland,","27 Capel St.,","","Dublin 1","Ireland","South Korea","Seoul Office: +82 2 553 6954  Mobile:+82 10 8943 5850","Travel agent","€","Net prior to arrival","","","http://dreamsinireland.com","5. Old VIP (Nurture)","Yes","Chris","Yang","weon1211@gmail.com","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Duoyuke Studio","Duoyuke","English","No.7-12 Xinkongnan Road, Haizhou District","","","Jiangsu Province","","China","+86 18961333834","Travel agent","€","Net prior to arrival","","","","New agents 2020","Yes","Willow","Yang","haikejingxuan@163.com","20% All Courses","","","Team, Partners","04/11/2024","","04/11/2024"
"","East West Education","East West Education","English","","","","","","Bulgaria","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Easy Go Mongolia","EasyGo","English","Ayud Tower 1305, Olympic Street","","","Ulaanbaatar","","Mongolia","","Travel agent","€","Net prior to arrival","","","","2. Active Engaged","Yes","Anand","Amar","visa@easy-go.mn","25% All Courses","","","Team, Partners","22/07/2025","","22/07/2025"
"","Easy Sprachreisen","Easy","English","Riedstraße 8","",74545,"Michelfeld","","Germany","+49 791 21691464","Travel agent","","Net prior to arrival","","","https://www.easy-sprachreisen.de","","Yes","Sebastian","Ernst","s.ernst@easy-sprachreisen.de","27.5% Courses","","","Gill, Paul","22/11/2018","","10/05/2022"
"","EC Multikid","EC Multikid","English","2, Bokhtar Street.","","","Dushanbe,","","Tajikistan","","Travel agent","","Net prior to arrival","","","www.multikid.tj","3. Gone Quiet","Yes","","","","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","ECIDU","ECIDU","English","","","","","","Venezuela","353 899 644 413","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Waleska","Maderer","mevoyadublin@hotmail.com","24% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Edgar Martinez","Edgar Martinez","English","","","","","","Venezuela","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Edu Vizyon Global Education Consultancy","Eduvizyon","English","Tunali Hilmi Cad. Nu:98/12","Çankaya","","ANKARA","","Turkey","0 312 999 70 76","Travel agent","","Net prior to arrival","","","http://www.eduvizyon.com/ankara","7. Inactive","Yes","Tamer","KARABAY","tamerkarabay@eduvizyon.com","25% All Courses","","","Team, ULearn","24/07/2017","","10/05/2022"
"","Edu-Plus","Edu-Plus","English","","","","","","Saudi Arabia","","Travel agent","","Net prior to arrival","","","http://www.edu-plus.net/en/","","Yes","Shady","Fakhreddine","shady.fakhreddine@icloud.com","25% All Courses","","","Team, Accomm","28/12/2017","","10/05/2022"
"","Education International","Education International","English","","","","","","","","Travel agent","","Net prior to arrival","","","http://eduint.ie/","","Yes","Dewan","Islam","info@eduint.ie","25% All Courses","","","Team, Partners","24/03/2017","","10/05/2022"
"","Education State","Education State","English","23 Marlborough St,","","","Dublin 1,","","Turkey","+353 (86) 3113004","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Burak","Gorbil","burak.gorbil@educationstate.ie","27.5% Courses","","","Gill, Paul","17/06/2016","","20/10/2023"
"","Educational Agency Anna","Educational Agency Anna","English","","","","","","Ukraine","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Educational Agency Cosmopolit","Educational Agency Cosmopolit","English","","","","","","Russia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Educational Road","Educational Road","English","505 Seungmoon Bldg. 356-2.","SeoGyo-dong. Mapo-gu.","I.P.070.8248-3210","Seoul,","","South Korea","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Edugates","Edugates","English","465b Hornsey Road","","N19 4DR","London","","United Kingdom","+44 2081 443 526","Travel agent","€","Net prior to arrival","","","www.edugates.com","6. Inactive Propect","Yes","Antonio","Mendes","antonio@edugates.com","25% All Courses","","","Team, ULearn","11/07/2017","","10/05/2022"
"","Eduhelp LLC","Eduhelp","English","EduHelp LLC, #1503, “UBH” center,","","Peace Avenue 3 Sukhbaatar district,","Ulaanbaatar city","","Mongolia","","Travel agent","","Net prior to arrival","","","","","Yes","Gantulga","Jargal","international@skydream.mn","25% All Courses","","ULearn Cancellation Policy 2018","Team, ULearn","18/04/2018","","10/05/2022"
"","Edumarket Creative Consulting LLC","Edumarket","English","31/1 Building 1A 2N Khoroo","Sukhbaatar District","","Ulanbaatar","","Mongolia","","Travel agent","€","Net prior to arrival","","","","","Yes","Munkhzaya","Dashzeveg","info@edumarket.mn","22.5% All Courses","","","Team, Partners","26/02/2025","","26/02/2025"
"","Egali Intercambio","Egali Intercambio","English","11-14 Upper Abbey street,","","","Dublin 1","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","EgitimAL","EgitimAL","English","Tunus Caddesi No:65 Daire:6 (Bülten Sokak ile Tunus Caddesinin Kesistigi Apt.)","Kavaklidere - Çankaya","","Ankara","","Turkey",+905418822402,"Travel agent","€","Net prior to arrival","","","www.egitimal.com","New agents 2020","Yes","Su Evrim Irmak","Devran","su@egitimal.com","20% All Courses","","","Team, Accounts","07/09/2020","","10/05/2022"
"","Egitimal Education Counseling Services","Egitimal","English","Tunus Caddesi Belkis Apt. No : 65/6","Kavaklidere",06680,"ANKARA","","Turkey","0312 466 59 30-31","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Sernur","Sancay","sernur@egitimal.com","22% All Courses","","","Gill, Paul","14/08/2015","","10/05/2022"
"","El Brufol","El Brufol","English","","","","","","","","","€","Net prior to arrival","","","","","Yes","","","","","","","Team, Accomm","26/06/2025","","26/06/2025"
"","Elmo Studies","Elmo Studies","English","Elmo Studies Ltd,","15 Northfields Prospect, Northfields,","SW18 1PE","London","","United Kingdom","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22.5% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","ELT Turkey","ELT Turkey","English","Barbaros Bulvari","31/5 Besiktas,",34353,"Istanbul","","Turkey","+90-212-236-0444","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Nur","Okatan","nur@elt.com.tr","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Endless Abroad Turkey","Endless Abroad Turkey","English","36 New Oxford Street","","WC1A 1EP","London,","","Turkey","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Gokhan","Ozdemir","gozdemir@endlessabroad.com.tr","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Enginnier Limited","Enginnier Limited","English","403 Hayano Building 2-13-12, Nishiazabu,","Minato-ku,","106-0031","Tokyo","","Japan","","","","Net prior to arrival","","","http://www.enginnier.com","","Yes","Haruka","Tokui","haruka.tokui@enginnier.com","25% All Courses","","","Team, ULearn","20/12/2018","","10/05/2022"
"","English Courses Ireland","English Courses Ireland","English","26 Waterville Hall,","","","Blanchardstown","Dublin","Ireland","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","10% All courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","English Road","English Road","English","2F, 174-8, Donggyo-dong,","Mapo-gu,","","Seoul","","South Korea","+82 2 722 3210","Travel agent","€","Net prior to arrival","","","www.englishroad.co.kr","2. Active Engaged","Yes","Ariel Yo Jeong","Kim","arielenro@gmail.com","25% All Courses","","","Gill, Paul","19/02/2018","","10/05/2022"
"","English4all","English4all","English","Language Centre English4all,","Hevlin 457,","671 69,","","","Czech Republic","","Travel agent","","Net prior to arrival","","","www.english4all.cz","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Englishjoy Language Education Consultancy T/A Wuhan Ai Dao Education Development Co. Ltd","Englishjoy/ Ai Dao","English","699 Xiong Chu Street, Hong shan district","","","Wuhan, Hubei province","","China","","Travel agent","","Net prior to arrival","","","","","Yes","Robert","Weidong Wang","wuhanoffice@ad-edu.com","25% All Courses","","ULearn Cancellation Policy 2018","Team, ULearn","03/10/2018","","10/05/2022"
"","Enter Ireland Agency Ltd","Enter Ireland","English","52A Thorncastle St","Ringsend","","Dublin 4","","",+353892212393,"Travel agent","€","Net prior to arrival","","","https://enterireland.com/SITE/info.php?lang=INGLES&tipo=ESTUDIO","New agents 2020","Yes","Marlon","Franco","marlon@enterireland.com","20% All Courses","","","Team, Accounts","11/09/2020","","10/05/2022"
"","Espera to indo","Esperatoindo","English","Rua Vale das Flores",05185400,"","Sao Paulo","","Brazil","+55 1195453 6982","Travel agent","€","Net prior to arrival","","","https://esperatoindo.com/","New agents 2020","Yes","Natasha","Silva Escribano","natasha@esperatoindo.com","20% All Courses","","","Team, Partners","23/02/2023","","23/02/2023"
"","Estudante VIP","Estudante VIP","English","EstudanteVip Viagens & Intercâmbio","Av. Nova Independência, 525 Brooklin","04570-000","SP – Brasil","","Brazil","","Travel agent","","Net prior to arrival","","","www.estudantevip.com.br","3. Gone Quiet","Yes","","","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estudar no Exterior","Estudar no Exterior","English","Av. Nicolau Becker, 456","","CEP: 93510-060","Novo Hamburgo","RS","Brazil","","Travel agent","","Net prior to arrival","","","www.estudarnoexterior.com.br","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estude na Europa","Estude na Europa","English","","","","","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estudiante VIP","Estudiante VIP","English","EstudanteVip Viagens & Intercâmbio","Av. Nova Independência, 525,","04570-000","Brooklin São Paulo","SP","Brazil","","Travel agent","","Net prior to arrival","","","www.estudantevip.com.br","7. Inactive","Yes","Daniele","Benedito","vendas@estudantevip.com.br","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estudiar Fuera","Estudiar Fuera","English","","","","","","Spain","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estudiemos Abroad","Estudiemos Abroad","English","","","","","","Colombia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Estudios Profesionales en Ingles","EPI","English","38 Huband Road","Bluebell","","Dublin","","Ireland","+353 87 347 0821","Travel agent","€","Net prior to arrival","","","https://www.estudiosprofesionaleseningles.com/","New agents 2020","Yes","Alejandro","Gonzalez","alejandrogonzalez@estudiosprofesionaleseningles.com","20% All Courses","","","Team, Accounts","25/08/2020","","10/05/2022"
"","ETIC","ETIC","English","","","","","","Saudi Arabia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Etudes & Découvertes Internationales","EDI","English","46-48 avenue des Bénédictins","",87000,"LIMOGES","","France","05 55 14 60 01","Travel agent","","Net prior to arrival","","","","","Yes","Caroline","Gilson","caroline.edi@edilangues.com","25% All Courses","","","Team, ULearn","30/03/2017","","10/05/2022"
"","Eurolingua","Eurolingua","English","EuroLingua VenaIrlanda SL","Avda Finisterre 194, Entrep",15010,"A Coruña","","Spain","+34 981 257 290","Travel agent","€","Net prior to arrival","","","www.venairlanda.com","2. Active Engaged","Yes","Carlos","Cadavid","carlos@venairlanda.com","Eurolingua","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Europe Diplome","Europe Diplome","English","","","","","","Algeria","","Travel agent","","Net prior to arrival","","","www.europediplome.com","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","European Education Center","EEC","English","1502, 15th Floor, CITY TOWER","East of Sukhbaatar Square","","Ulanbaatar","","Mongolia","","Travel agent","€","Net prior to arrival","","","","2. Active Engaged","Yes","","","","25% All Courses","","","Team, Partners","26/08/2025","","26/08/2025"
"","Eversmart353","Eversmart353","English","","","","","","",+353871761079,"","€","Net prior to arrival","","","http://eversmart353.com/","New agents 2020","Yes","Nicole","Zhang","nicole@eversmart353.com","20% All Courses","","","Team, Partners","04/03/2020","","10/05/2022"
"","Evsay Ltd","Evsay Ltd","English","","","","","","Russia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","F-Group Academy","F-Group Academy","English","","","","","","Azerbaijan","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Fuad","Aliyev","f.aliyev.vhv@gmail.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","FACE Intercambio","FACE Intercambio","English","Av. Prudente de Morais 901, Sl 61","Cidade Jardim","30350-143","Belo Horizonte","MG","Brazil","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Rodrigo","Roscoe","rodrigo@faceintercambio.com.br","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Fahad A. Alali","Fahad","English","","","","","","Saudi Arabia",+966530535200,"Individual","€","Net prior to arrival","","","","4. Gone Quiet - Prospect","Yes","Fahad","Al Ali","FAA1382@hotmail.com","20% All Courses","","","Gill, Paul","08/09/2017","","10/05/2022"
"","FF Success Edu Mongolia","FF Success Edu Mongolia","English","""Chonon Burt"" Tuv,","Floor 2, Door 201,","10 Seoul Street,","14253 Sukhbaatar Dist,","Ulaanbaatar","Mongolia","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Nyamsuren","Batvaa","ff.success@gmail.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","First Visa Agency","VisaKaliningrad","English","First Visa Agency, 34 Baranova street, Office 410","",236000,"Kaliningrad","","Russia","","Travel agent","€","Gross prior to arrival","","","","6. Inactive Propect","Yes","Dmitrii","Artemev","info@visakaliningrad.ru","25% All Courses","","","Team, ULearn","21/11/2017","","10/05/2022"
"","Flyers","Flyers","","","","","","","","","","","Net prior to arrival","","","","","Yes","","","","","","","","17/06/2016","","10/05/2022"
"","FlyUP Intercambios","FlyUP","English","16 Grove Park Road","","","Dublin","","Ireland",+353830958344,"Travel agent","€","Net prior to arrival","","","https://flyupintercambios.com.br/","New agents 2020","Yes","Patricia Fernanda","Pigari","contato@flyupintercambios.com.br","20% All Courses","","","Team, ULearn","14/09/2022","","14/09/2022"
"","Formacion & Idiomas EuroLingua Study","Formacion","English","Pintor Sorrolla 22","2ºAB","","Valencia","","Spain","","Travel agent","","Net prior to arrival","","","www.eurolinguastudy.com","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Francis English Program Abroad (FEPA)","Francis English","English","","","","","","Venezuela","","Travel agent","","Net prior to arrival","","","www.inglesbritanico.com.ve","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Francisco Figueroa","Francisco Figueroa","English","","","","","","Spain","085 8695665","Individual","","Net prior to arrival","","","","7. Inactive","Yes","Francisco","Javier","dublinstudy2015@gmail.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Franco Rossi Agency","Franco Rossi Agency","English","","","","","","Italy","","Individual","","Net prior to arrival","","","","7. Inactive","Yes","Franco","Rossi","frossi@apeducational.net","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Frank Kennedy","Frank Kennedy","English","","","","","","Turkey","","Individual","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","GadTours SK","GadTours SK","English","Cernovská 9,","","","Žilina","","Slovakia","","Travel agent","€","Net prior to arrival","","","www.gadtours.com","","Yes","","","","","","","Team, Accomm","29/07/2025","","29/07/2025"
"","Gamjauhak","Gamjauhak","English","1317-3 2F Seoul B/D Seocho-Dong,","Seocho-Gu,","137-856,","Seoul,","","South Korea","","Travel agent","","Net prior to arrival","","","www.gamjauhak.com","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","GCN Campus OK","GCN Campus OK","English","","","","","","South Korea","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","GDSCSE","GDSCSE","English","","","","","Guangzhou","China","","Travel agent","€","Net prior to arrival","","","www.gdscse.net","6. Inactive Propect","Yes","Jackie","Jiang","hope-edu@163.com","27.5% Courses","","","Gill, Paul","19/10/2018","","10/05/2022"
"","Get it Intercambio","Get it Intercambio","English","","","","","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","GH Education Consultancy","GH Education Consultancy","English","No.684,","Yongchun E. Rd.,","Nantun District - 40877","Taichung City","","Taiwan","886 (0)4 23802667","Travel agent","","Net prior to arrival","","","www.ghedu.com.t / wwww.ghedu.com.tw/nz","7. Inactive","Yes","Tammie","Huang","info@ghedu.com.tw","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","GLC","GLC","English","GLC International Education Group","8F-1, #169, Section 4, Chong Hsiao East Rd,",106,"Taipei","","Taiwan","","Travel agent","€","Net prior to arrival","","","www.glcstudy.com","6. Inactive Propect","Yes","Lena","Wang","lena.wang@glcstudy.com","30% All Courses","","","Team, Partners","23/08/2016","","10/05/2022"
"","Global College","Global College","English","","","","","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Global Connect Travel","GCT","English","Plaza Santa Maria Torres Acosta, 1 - (C. Negocios IBC Callado)","",28004,"Madrid","","Spain",+34658819441,"Travel agent","€","Net prior to arrival","","","","New agents 2020","Yes","Sergio","Sanchez Piqueras","sergio.sanchez@grupo-gct.com","22% All Courses","","","Team, Partners","28/04/2023","","28/04/2023"
"","Global Education","Global Education","English","Carmen Soler 3685","","","Asunsion","","Paraguay",+59521220833,"Travel agent","","Net prior to arrival","","","www.globaleducation.com.py","","Yes","Isabel","Olmedo","isaolmedo@globaleducation.com.py","25% All Courses","Partner Pay Terms - Course Only (EU), Partner Pay Terms - Course Only 2","ULearn Cancellation Policy 2018","Team, ULearn","04/07/2019","","10/05/2022"
"","Global Education Alliance Limited (GEA)","GEA","English","Room B, 15/F Kings Wing Plaza 1, 3 On Kwan Street, Shatin, N.T.,","","","","","Hong Kong","","Travel agent","","Net prior to arrival","","","","","Yes","Kirsten","Chen","kirsten.chen@geaworld.org","25% All Courses","","","Team, ULearn","22/01/2019","","10/05/2022"
"","Global Education Network","Global Education Network","English","","","","Seoul","","South Korea","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Global Languages","Global Languages","English","40 Dame Street","","Dublin 2","Dublin","","Ireland","","","","Net prior to arrival","","","","7. Inactive","Yes","Michelle","Goes","info@globallanguage.ie","25% All Courses","","","Team, ULearn","08/11/2016","","10/05/2022"
"","GlobalTur","GlobalTur","English","12 Radischeva Street, office 313","","","Yekaterinburg","","Russia",+79030837062,"","","Net prior to arrival","","","www.globaltur.su","","Yes","Ekaterina","Selina","student@globaltur.su","25% All Courses","","","Team, ULearn","08/06/2018","","10/05/2022"
"","Go Ahead Intercambios","Go Ahead Int","English","Apt. 16 Worthington House Bl A","Clancy Quay, South Circular Rd","Dublin 8","Dublin","","Ireland","","Travel agent","€","Net prior to arrival","","","","","Yes","Clara","Albano","backoffice@gaintercambios.com.br","25% All Courses","","","Team, Partners","24/10/2025","Team, Partners","29/10/2025"
"","GO English Center","GO English Center","English","Av. da Florida, 9, Planta 3","","","Vigo","","Spain","","","","Net prior to arrival","","","","","Yes","","","","25% All Courses","","ULearn Cancellation Policy 2018","Team, ULearn","10/05/2019","","10/05/2022"
"","Go Irlanda","Go Irlanda","English","","","","","","Brazil","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
